Область,Регион,Город,Гор.район,Квартал,Улица,Дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.70 лет Октября,42 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Победы ул.,78/90 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Ул.Автостроителей,62 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Космонавтов б-р,16
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Механизаторов улиц.,25 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,9 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,25 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,Д.45
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ленинский пр-кт,8 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.18,Ул.70 лет Октября,38П д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,69 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Жукова ул.,32 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Гидротехническая ул.,30 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,11 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Гидротехническая ул.,32 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,38 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.51
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шевченко проезд,114
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,9-го Января проезд,89 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ст. Разина пр-кт.,Д.76
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Есенина ул.,4 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Амурский проезд,69 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленинградская улиц.,8 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,9 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Голосова улиц.,77 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шевченко проезд,100 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 1-й проезд,Д.14
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,28
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный проезд,Д.6
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кавалерийский проезд,Д.32
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,(нет),120 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ул.40 лет Победы,Д.118
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тимирязева пр.,1 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,1-ый Одесский проезд,здание 1
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Поволжское ш.,35 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Советская ул.,здание 1
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Родниковая ул.,здание 27
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,19 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Брестская улиц.,37 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Парковый 5-ый пер.,13 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Малиновая улиц.,Д.37
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Гидростроевская,5 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Борковская ул.,здание 65
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Борковская ул.,69Б дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Садовое кольцо,53 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,улица Соловьиная,31 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Пушкинская ул.,16 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Липовый пер.,Д.16
Самарская обл.,Ставропольский р-н,Ягодное село,,,Ул.Садовая,Д.2А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Профсоюзов проезд,17 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,3 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Стк росток-2,Д.В-44
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,2Г дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Садовая ул.,23А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3акв-л,Фрунзе ул.,10А д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Челюскинцев,13 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Автозаводское  ш.,18 дом
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,Лесопарковое ш.,55 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мирный 3-й проезд,54 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,Д.51
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Минский 2-й проезд,здание 44А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,10 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лунный проезд,68 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Сосновая ул.,43 дом
Самарская обл.,,г. Самара,Советский р-н,,22 Партсъезда улиц.,10А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Родины ул.,28 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Ст. Разина пр-кт.,65
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,Московский пр-кт,15 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Ул.Автостроителей,54А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Ст. Разина,35
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кирова ул.,103 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,180 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Буденого б-р.,1 дом
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Сосновая ул.,13 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Жукова ул.,8 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,улица Революционная,62 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Свердлова ул.,1В д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,152А дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,45 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Ст. Разина,здание 15
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ленинский пр-кт,здание 10
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Цветная,6 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Носова ул.,здание 21
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 1-й проезд,здание 58
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Советская ул.,99 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Магистральная,Д.3 А
Самарская обл.,Волжский р-н,с.Мастрюково,,,Подгорная,27 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Волжская ул.,12
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Тольяттинская ул.,30
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Московский пр-кт,66 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,Тольяттинская ул.,27 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Минская ул.,здание 81
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Жигулевская ул.,16А д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Ставропольская,42 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,32Б д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,4В д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Баныкина,27 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,Д.117А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,улица Тополиная,33А дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Надежды ул.,11 дом
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Тополиная ул.,20 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,здание 30А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Донской 7-й проезд,3 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,СТОЯНКА д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,53 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Энергетиков улиц.,здание 5
Самарская обл.,Волжский р-н,с.Мастрюково,,,ЖГИЗ,20 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мичурина,69 дом
15 дом,,Автозаводский микрор-н,,г.Тольятти,Самарская обл.,Ботаническая ул.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,Д.147 В
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Грибная ул.,Д.16
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,улица Комзина,12 дом
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,Лесопарковое ш.,77 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,19А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,148
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Специалистов ул.,1 дом
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Специалистов ул.,23 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,Д.94
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Индустриальная ул.,здание 7А
Самарская обл.,Ставропольский р-н,пос.Загородный,,,Рабочая ул.,1 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,Д.49
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Герцена ул.,76 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Калиновая,18 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Приморский б-р,здание 43Г
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Осипенко,Д.22
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ул.40 лет Победы,9А д.
Самарская обл.,,г. Самара,Промышленный р-н,,Московское шоссе,120 д.
Самарская обл.,,г. Самара,Кировский р-н,,Товарная улиц.,70 дом
Самарская обл.,Ставропольский р-н,с.Тимофеевка,,,Обводное шоссе,Д.3А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевская ул.,58 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,улица Дзержинского,69 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,28 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Свердлова ул.,48 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,улица Дзержинского,3А д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,42 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,54 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,здание 9
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,23 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,27 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,4А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Фрунзе ул.,9 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,здание 4
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,52 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,59
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Луначарского б-р,1 д.
Автозаводский микрор-н,,Приморский б-р,11к,Д.4,г.Тольятти,Самарская обл.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Гагарина,8 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Солнечный проезд,37 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Сызранский проезд,Д.35
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,54 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 1-й проезд,30 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Чернышевского пер.,31 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 3-й проезд,10 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Строителей,14 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,4В д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Свердлова ул.,9В д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,136 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,31 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,8 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ул.Юбилейная,65 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,69 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Белинского в пр.,52 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Соловьиная ул.,9 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,Д.24А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Бородинский проезд,30 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Майский проезд,9 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ушакова улиц.,58 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Голосова улиц.,32А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ушакова улиц.,70 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Жилина,42 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Комсомольская ул.,здание 137
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,58 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Герцена ул.,70 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.92
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,21 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Ст. Разина пр-кт.,Д.75
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,здание 91
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Механизаторов улиц.,здание 11
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,101 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 8-й проезд,15 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,здание 5А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Котельный проезд,13 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,здание 89А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тимирязева ул.,73 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ушакова улиц.,44 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,здание 21
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.70 лет Октября,60 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Брестская улиц.,40 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Сосновый проезд,57 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,здание 19
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,100 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,152 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,здание 76
Автозаводский микрор-н,г.Тольятти,Самарская обл.,Московский пр-кт,,2 кв-л,13 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Голосова улиц.,75 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,Д.149
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Татищева б-р,5 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Ул.70 лет Октября,здание 61
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,67А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,10 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Московский пр-кт,33 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ул.40 лет Победы,здание 114
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Свердлова ул.,35/22 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ст. Разина пр-кт.,здание 66/5
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Огородный проезд,здание 1
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Брестская улиц.,58 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мирный 3-й проезд,здание 41
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Рабочий проезд,16
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Ст. Разина пр-кт.,49 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.Автостроителей,7 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Герцена ул.,82 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,26 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пролетарская ул.,17 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Победы ул.,здание 58
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,94 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,51 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Торновый проезд,здание 17
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Сызранский проезд,Д.28
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Печорский проезд,35 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Парковый 1-й проезд,6 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,здание 80
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Детский проезд,16 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ботаническая ул.,здание 34А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Лесная,здание 1
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,72 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Железнодорожная,Д.1
Самарская обл.,Ставропольский р-н,с.Борковка,,,Рабочая ул.,здание 18
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,8-го Марта проезд,7 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Гидротехническая ул.,здание 24
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Васильковая,здание 5
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Южное ш.,33Н д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,161 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Механизаторов улиц.,здание 18
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Южное ш.,(НЕТ) дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Коваленко ул.,73 дом
Ставропольский р-н,с.Фёдоровка,,Самарская обл.,Клары Цеткин улиц.,здание 11,
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина б-р,15А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Туполева б-р,11А дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Фермерская улиц.,1 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Изумрудная ,14 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Борковская ул.,здание СТР
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Рябиновый пер.,15 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Победы ул.,здание 13
Самарская обл.,Ставропольский р-н,пос.Приморский,,,34 а,5 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ул.Автостроителей,здание 102Б
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,здание 150
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Борковская ул.,17
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Московский пр-кт,24 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Дачный выезд 2,73В дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Сосновая ул.,здание 14
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Орлиный пер.,15 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Обводная дорога,72 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Сосновый проезд,95 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Шевцовой ул.,6 дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Журавлиная,здание 32
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тупиковый проезд,28А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ботаническая ул.,АВТОСАЛОН д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,Приморская улиц.,71А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Московский пр-кт,здание 23А
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Жигулевская ул.,здание 8
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3акв-л,Ст. Разина пр-кт.,36А д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Сосновая ул.,10 д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Осипенко,здание 2 Б
Самарская обл.,Волжский р-н,с.Мастрюково,,,Вологодская улиц.,Д.14А
Самарская обл.,,г. Самара,,,Ул.Профильная,51 дом
Самарская обл.,,г. Отрадный,,,улица Советская,36
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Садовая улиц.,3 д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Ново-Садовая,24 дом
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Полева,Д.43
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Ново-Садовая,164А дом
Самарская обл.,,г. Самара,Самарский р-н,,Чапаевская ул.,85 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,50 лет Октября б-р,Д.43
Самарская обл.,,г. Самара,Советский р-н,,Мориса Тореза ул.,107
Самарская обл.,,г. Самара,Советский р-н,,Заводское шоссе,здание 3
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Саратовская,31 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,Кулибина б-р,6 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Гая б-р.,8 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Соловьиная,11 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Юбилейный пер.,10 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Зеленый пр.,8 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Енисейский проезд,37 дом
Самарская обл.,,г. Самара,Октябрьский р-н,,Советской Армии улиц.,205 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.  5,Ул.Юбилейная,19/31 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ул.Юбилейная,Д.36
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,Д.37
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Луначарского б-р,Д.14
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Цветной б-р,Д.11
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Цветной б-р,2 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.70 лет Октября,58 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.70 лет Октября,41 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,44 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Фрунзе ул.,здание 43
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,улица Тополиная,Д.6
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.70 лет Октября,Д.9
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.40 лет Победы,34 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.70 лет Октября,45 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,улица Тополиная,здание 47
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,29 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.  5,Ст. Разина пр-кт.,здание 18
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,45 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,64А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.70 лет Октября,17 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,18 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,50 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Ворошилова ул.,4А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ворошилова ул.,43 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.21,Южное ш.,25 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Фрунзе ул.,21 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,81 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,67 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Фрунзе ул.,Д.13/57
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Механизаторов улиц.,5 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Фрунзе ул.,15 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Баумана б-р.,3 дом
